Air Bourbon,255,10,200,10,BUB
Air Brasd'or,255,10,170,110,BRL
Air Bravo,255,10,170,50,BRF
Air Bristol,255,0,250,230,AZX
Air Brousse,255,0,10,190,ABT
Air Budapest Club,255,10,200,30,BUD
Air Budjak,255,10,30,60,BDG
Air Burkina,255,210,10,220,VBW
Air Burundi,255,150,10,200,PBU
Air Business,255,10,180,180,BSS
Air Caledonia,255,0,20,120,ACM
Air Caledonie,255,190,150,20,TPC
Air Caledonie International,255,170,100,110,RKL
Air Caledonie International,255,0,20,80,ACI
Air Canada,255,0,20,0,ACA
Air Canada Jazz,255,90,250,0,JZA
Air Canada Regional,255,0,170,130,ARN
Air Canarias,255,20,0,130,CAN
Air Care (South West),255,220,20,80,WCI
Air Care Alliance,255,20,120,50,CMF
Air Cargo America,255,120,210,120,MVM
Air Cargo Belize,255,20,60,10,CGBC
Air Cargo Carriers,255,180,130,20,SNC
Air Cargo Center,255,60,170,80,GRI
Air Cargo Express,255,190,30,60,TDG
Air Cargo Express (Tatonduk Outfitters),255,50,230,60,FXG
Air Cargo Georgia,255,60,60,60,GGG
Air Cargo Masters,255,170,130,170,RNR
Air Cargo Plus,255,0,20,70,ACH
Air Caribbean,255,20,10,10,CBB
Air Carribean - CLTM Airlines,255,20,110,190,CLT
Air Carriers,255,50,20,80,FCI
Air Cassai,255,170,20,80,RCI
Air Cess (Liberia),255,0,20,180,ACS
Air Charter,255,0,20,50,ACF
Air Charter,255,110,80,140,LIO
Air Charter Express,255,40,20,170,ECR
Air Charter Service,255,0,20,210,ACV
Air Charter Services,255,20,70,170,CHR
Air Charter World,255,230,0,20,XAC
Air Charters,255,0,20,230,ACX
Air Charters Eelde,255,170,20,20,RCC
Air Chathams,255,20,210,0,CVA
Air China,255,20,20,0,CCA
Air China (Cargo),255,20,20,0,CCAC
Air City,255,40,20,40,ECE
Air Class,255,0,180,180,ASS
Air Class Lineas Aereas (Aerovip),255,160,20,110,QCL
Air Club Transportes Aereos,255,210,10,170,VBR
Air Columbia,255,0,20,140,ACO
Air Comet,255,120,150,30,MPD
Air Commerce,255,20,180,10,CSB
Air Company,255,20,150,240,CPY
Air Company Itek-Air,255,80,100,0,IKA
Air Company Polet,255,150,140,190,POT
Air Concorde,255,100,60,30,KGD
Air Condal,255,90,80,30,JID
Air Consul [Equatorial Guinea],255,170,20,180,RCS
Air Consul [Spain],255,20,130,200,CNU
Air Continental,255,130,0,170,NAR
Air Contractors (Ireland),255,0,10,170,ABR
Air Cordial,255,140,170,20,ORC
Air Cordoba,255,20,30,10,CDB
Air Corporate,255,20,150,210,CPV
Air Creebec,255,20,170,160,CRQ
